question,answer
ア→???→???→イ,アラブシュチョウコクレンポウウルグアイ
ア→???→???→デ,アメリカカーボベルデ
ア→???→???→ナ,アラブシュチョウコクレンポウウクライナ
ア→???→???→ル,アメリカカタール
イ→???→???→ス,イギリススイス
イ→???→???→ツ,インドドイツ
イ→???→???→ト,イラククウェート
イ→???→???→ム,イギリススリナム
ウ→???→???→ス,ウルグアイイギリス
ウ→???→???→ド,ウルグアイインド
エ→???→???→エ,エスワティニニウエ
エ→???→???→ガ,エジプトトンガ
エ→???→???→コ,エジプトトルコ
エ→???→???→ル,エスワティニニジェール
オ→???→???→ク,オランダダイカンミンコク
カ→???→???→ウ,カンボジアアラブシュチョウコクレンポウ
カ→???→???→カ,カンボジアアメリカ
ガ→???→???→ウ,ガンビアアラブシュチョウコクレンポウ
ガ→???→???→カ,ガンビアアメリカ
ガ→???→???→ダ,ガンビアアンティグアバーブーダ
キ→???→???→ウ,キタマケドニアアラブシュチョウコクレンポウ
キ→???→???→ク,キューババチカンシコク
キ→???→???→ダ,キタマケドニアアンティグアバーブーダ
キ→???→???→ツ,キューババヌアツ
キ→???→???→マ,キューババハマ
キ→???→???→ユ,キューババングラデシュ
ギ→???→???→イ,ギニアビサウウルグアイ
ギ→???→???→ウ,ギニアアラブシュチョウコクレンポウ
ギ→???→???→カ,ギニアアメリカ
ギ→???→???→ナ,ギニアビサウウクライナ
ク→???→???→イ,クックショトウウルグアイ
ク→???→???→ウ,クロアチアアラブシュチョウコクレンポウ
ク→???→???→カ,クロアチアアメリカ
ク→???→???→ガ,クウェートトンガ
ク→???→???→コ,クウェートトルコ
ク→???→???→ナ,クックショトウウクライナ
グ→???→???→ア,グアテマララトビア
グ→???→???→ク,グレナダダイカンミンコク
グ→???→???→ス,グアテマララオス
ケ→???→???→ウ,ケニアアラブシュチョウコクレンポウ
ケ→???→???→カ,ケニアアメリカ
ケ→???→???→ダ,ケニアアンティグアバーブーダ
コ→???→???→カ,コロンビアアメリカ
コ→???→???→ク,コートジボワールルクセンブルク
コ→???→???→デ,コスタリカカーボベルデ
コ→???→???→ル,コスタリカカタール
サ→???→???→エ,サンマリノノルウェー
サ→???→???→ル,サントメプリンシペペルー
ザ→???→???→ウ,ザンビアアラブシュチョウコクレンポウ
ザ→???→???→カ,ザンビアアメリカ
ザ→???→???→ダ,ザンビアアンティグアバーブーダ
シ→???→???→ウ,シリアアラブシュチョウコクレンポウ
シ→???→???→カ,シリアアメリカ
シ→???→???→ク,シンガポールルクセンブルク
シ→???→???→ル,シエラレオネネパール
ジ→???→???→ウ,ジョージアアラブシュチョウコクレンポウ
ジ→???→???→コ,ジブチチェコ
ジ→???→???→デ,ジャマイカカーボベルデ
ジ→???→???→ト,ジンバブエエジプト
ジ→???→???→ニ,ジンバブエエスワティニ
ジ→???→???→リ,ジブチチリ
ス→???→???→デ,スリランカカーボベルデ
ス→???→???→ム,スイススリナム
ス→???→???→ル,スリランカカタール
セ→???→???→イ,セントビンセントグレナディーンショトウウルグアイ
セ→???→???→ス,セントクリストファーネービススイス
セ→???→???→ナ,セントビンセントグレナディーンショトウウクライナ
セ→???→???→ム,セントクリストファーネービススリナム
ソ→???→???→イ,ソロモンショトウウルグアイ
ソ→???→???→ウ,ソマリアアラブシュチョウコクレンポウ
ソ→???→???→カ,ソマリアアメリカ
ソ→???→???→ナ,ソロモンショトウウクライナ
タ→???→???→ウ,タンザニアアラブシュチョウコクレンポウ
タ→???→???→カ,タンザニアアメリカ
タ→???→???→ク,タイイラク
タ→???→???→ス,タイイギリス
タ→???→???→ダ,タンザニアアンティグアバーブーダ
タ→???→???→ル,タイイスラエル
ダ→???→???→ア,ダイカンミンコククロアチア
ダ→???→???→ウ,ダイカンミンコククックショトウ
ダ→???→???→ト,ダイカンミンコククウェート
チ→???→???→ツ,チャドドイツ
チ→???→???→デ,チュウオウアフリカカーボベルデ
チ→???→???→ボ,チェココソボ
チ→???→???→ロ,チェココモロ
ツ→???→???→ア,ツバルルーマニア
ツ→???→???→ク,ツバルルクセンブルク
ツ→???→???→ダ,ツバルルワンダ
デ→???→???→ア,デンマーククロアチア
デ→???→???→ウ,デンマーククックショトウ
デ→???→???→ト,デンマーククウェート
ト→???→???→カ,トルココスタリカ
ト→???→???→ボ,トルココソボ
ト→???→???→ル,トルココートジボワール
ト→???→???→ロ,トルココモロ
ト→???→???→ン,トンガガボン
ド→???→???→ル,ドイツツバル
ナ→???→???→ク,ナウルルクセンブルク
ニ→???→???→ウ,ニカラグアアラブシュチョウコクレンポウ
ニ→???→???→カ,ニカラグアアメリカ
ニ→???→???→ツ,ニュージーランドドイツ
ニ→???→???→ト,ニウエエジプト
ニ→???→???→ニ,ニウエエスワティニ
ネ→???→???→ア,ネパールルーマニア
ネ→???→???→ク,ネパールルクセンブルク
ネ→???→???→ダ,ネパールルワンダ
ノ→???→???→ト,ノルウェーエジプト
ノ→???→???→ニ,ノルウェーエスワティニ
ハ→???→???→カ,ハイチチュウオウアフリカ
ハ→???→???→コ,ハイチチェコ
ハ→???→???→ド,ハイチチャド
ハ→???→???→リ,ハイチチリ
ハ→???→???→ン,ハンガリーリヒテンシュタイン
バ→???→???→イ,バハママラウイ
バ→???→???→カ,バルバドススリランカ
バ→???→???→ス,バルバドススイス
バ→???→???→タ,バハママルタ
バ→???→???→ト,バチカンシコククウェート
バ→???→???→ム,バルバドススリナム
バ→???→???→リ,バハママリ
パ→???→???→イ,パナママラウイ
パ→???→???→カ,パプアニューギニアアメリカ
パ→???→???→ク,パラグアイイラク
パ→???→???→ス,パラグアイイギリス
パ→???→???→タ,パナママルタ
パ→???→???→リ,パナママリ
ヒ→???→???→ア,ヒガシティモールルーマニア
ヒ→???→???→ク,ヒガシティモールルクセンブルク
ヒ→???→???→ダ,ヒガシティモールルワンダ
フ→???→???→エ,フィジージンバブエ
フ→???→???→ス,フランススイス
フ→???→???→チ,フィジージブチ
フ→???→???→ツ,フィンランドドイツ
フ→???→???→ム,フランススリナム
ブ→???→???→エ,ブルンジジンバブエ
ブ→???→???→ス,ブルネイイギリス
ブ→???→???→チ,ブルンジジブチ
ブ→???→???→ル,ブルネイイスラエル
ベ→???→???→ウ,ベルギーギニアビサウ
ベ→???→???→ス,ベネズエララオス
ベ→???→???→ネ,ベラルーシシエラレオネ
ベ→???→???→ヤ,ベルギーギリシャ
ベ→???→???→ル,ベラルーシシンガポール
ペ→???→???→ア,ペルールーマニア
ペ→???→???→ク,ペルールクセンブルク
ペ→???→???→ダ,ペルールワンダ
ホ→???→???→カ,ホンジュラススリランカ
ホ→???→???→ス,ホンジュラススイス
ホ→???→???→ム,ホンジュラススリナム
ボ→???→???→ウ,ボリビアアラブシュチョウコクレンポウ
ボ→???→???→カ,ボリビアアメリカ
ボ→???→???→ダ,ボリビアアンティグアバーブーダ
ポ→???→???→ア,ポルトガルルーマニア
ポ→???→???→ダ,ポルトガルルワンダ
ポ→???→???→ツ,ポーランドドイツ
マ→???→???→ウ,マレーシアアラブシュチョウコクレンポウ
マ→???→???→カ,マレーシアアメリカ
マ→???→???→ス,マラウイイギリス
マ→???→???→ナ,マーシャルショトウウクライナ
マ→???→???→ル,マラウイイスラエル
ミ→???→???→タ,ミャンマーマルタ
ミ→???→???→ダ,ミクロネシアレンポウウガンダ
