question,answer
タ◯,タイ
◯イ,タイ
チ◯,チリ
マ◯,マリ
◯◯ク,イラク
イ◯ク,イラク
◯ラク,イラク
イ◯ン,イラン
◯ラン,イラン
イン◯,インド
イ◯ド,インド
◯ンド,インド
カ◯◯,カナダ
◯◯ダ,カナダ
カナ◯,カナダ
カ◯ダ,カナダ
◯ナダ,カナダ
◯ボ◯,ガボン
ガボ◯,ガボン
ガ◯ン,ガボン
◯ボン,ガボン
◯◯ナ,ガーナ
ガー◯,ガーナ
ガ◯ナ,ガーナ
◯ーナ,ガーナ
ギ◯◯,ギニア
ギニ◯,ギニア
ギ◯ア,ギニア
ケ◯◯,ケニア
ケニ◯,ケニア
ケ◯ア,ケニア
◯◯ボ,コソボ
コソ◯,コソボ
コ◯ボ,コソボ
◯ソボ,コソボ
◯◯ロ,コモロ
コモ◯,コモロ
コ◯ロ,コモロ
◯モロ,コモロ
サ◯◯,サモア
サモ◯,サモア
サ◯ア,サモア
◯モア,サモア
シ◯◯,シリア
◯リ◯,シリア
シリ◯,シリア
シ◯ア,シリア
◯リア,シリア
ジ◯◯,ジブチ
◯ブ◯,ジブチ
ジブ◯,ジブチ
ジ◯チ,ジブチ
◯ブチ,ジブチ
ス◯◯,スイス
スイ◯,スイス
ス◯ス,スイス
◯イス,スイス
◯ェ◯,チェコ
チェ◯,チェコ
チ◯コ,チェコ
◯ェコ,チェコ
◯ャ◯,チャド
チャ◯,チャド
チ◯ド,チャド
◯ャド,チャド
ツ◯◯,ツバル
◯バ◯,ツバル
ツバ◯,ツバル
ツ◯ル,ツバル
◯バル,ツバル
トル◯,トルコ
ト◯コ,トルコ
◯ルコ,トルコ
◯◯ガ,トンガ
トン◯,トンガ
ト◯ガ,トンガ
◯ンガ,トンガ
◯◯ゴ,トーゴ
トー◯,トーゴ
ト◯ゴ,トーゴ
◯ーゴ,トーゴ
ド◯◯,ドイツ
◯◯ツ,ドイツ
ドイ◯,ドイツ
ド◯ツ,ドイツ
◯イツ,ドイツ
ナ◯◯,ナウル
ナウ◯,ナウル
ナ◯ル,ナウル
◯ウル,ナウル
◯◯エ,ニウエ
ニウ◯,ニウエ
ニ◯エ,ニウエ
◯ウエ,ニウエ
◯ホ◯,ニホン
ニホ◯,ニホン
ニ◯ン,ニホン
◯ホン,ニホン
ハ◯◯,ハイチ
ハイ◯,ハイチ
ハ◯チ,ハイチ
◯イチ,ハイチ
バ◯◯,バハマ
◯ハ◯,バハマ
バハ◯,バハマ
バ◯マ,バハマ
◯ハマ,バハマ
パナ◯,パナマ
パ◯マ,パナマ
◯ナマ,パナマ
◯◯オ,パラオ
パラ◯,パラオ
パ◯オ,パラオ
◯ラオ,パラオ
ベ◯◯,ベナン
ベナ◯,ベナン
ベ◯ン,ベナン
◯ナン,ベナン
ペ◯◯,ペルー
◯◯ー,ペルー
ペル◯,ペルー
ペ◯ー,ペルー
◯ルー,ペルー
マ◯◯,マルタ
◯◯タ,マルタ
マル◯,マルタ
マ◯タ,マルタ
◯ルタ,マルタ
モ◯◯,モナコ
モナ◯,モナコ
モ◯コ,モナコ
◯ナコ,モナコ
ラ◯◯,ラオス
◯オ◯,ラオス
ラオ◯,ラオス
ラ◯ス,ラオス
◯オス,ラオス
リ◯◯,リビア
◯ビ◯,リビア
リビ◯,リビア
リ◯ア,リビア
◯ビア,リビア
レ◯◯,レソト
◯◯ト,レソト
レソ◯,レソト
レ◯ト,レソト
◯ソト,レソト
ロ◯◯,ロシア
◯シ◯,ロシア
ロシ◯,ロシア
ロ◯ア,ロシア
◯シア,ロシア
◯メ◯◯,アメリカ
◯◯◯カ,アメリカ
アメ◯◯,アメリカ
ア◯リ◯,アメリカ
ア◯◯カ,アメリカ
◯メリ◯,アメリカ
◯メ◯カ,アメリカ
◯◯リカ,アメリカ
ア◯ゴ◯,アンゴラ
◯◯ゴラ,アンゴラ
ア◯ド◯,アンドラ
◯ンド◯,アンドラ
◯◯ドラ,アンドラ
◯エ◯◯,イエメン
◯◯メ◯,イエメン
イエ◯◯,イエメン
イ◯メ◯,イエメン
イ◯◯ン,イエメン
◯エメ◯,イエメン
◯エ◯ン,イエメン
◯◯メン,イエメン
◯ギ◯◯,イギリス
イギ◯◯,イギリス
イ◯◯ス,イギリス
◯ギリ◯,イギリス
◯ギ◯ス,イギリス
◯◯リス,イギリス
イタ◯◯,イタリア
イ◯◯ア,イタリア
◯タリ◯,イタリア
◯タ◯ア,イタリア
ウ◯◯◯,ウガンダ
◯ガ◯◯,ウガンダ
ウガ◯◯,ウガンダ
ウ◯ン◯,ウガンダ
ウ◯◯ダ,ウガンダ
◯ガン◯,ウガンダ
◯ガ◯ダ,ウガンダ
エ◯◯◯,エジプト
◯ジ◯◯,エジプト
◯◯プ◯,エジプト
◯◯◯ト,エジプト
エジ◯◯,エジプト
エ◯プ◯,エジプト
エ◯◯ト,エジプト
◯ジプ◯,エジプト
