ア→???→???→ソ,アラブルタケケムッソ
ア→???→???→ヌ,アーマーガアアシレーヌ
ア→???→???→ヒ,アママイココアルヒー
ア→???→???→ブ,アーボッククラブ
イ→???→???→カ,イルミーゼゼブライカ
イ→???→???→ガ,イシツブテテツノドクガ
イ→???→???→ゲ,イッカネズミミカルゲ
イ→???→???→サ,イッカネズミミガルーサ
イ→???→???→ジ,イノムームウマージ
イ→???→???→ズ,イッカネズミミミズズ
イ→???→???→ツ,イッカネズミミュウツー
イ→???→???→ネ,イワーククスネ
イ→???→???→ハ,イシツブテテツノイサハ
イ→???→???→ビ,イワパレススナヘビ
イ→???→???→ピ,イワパレススコルピ
イ→???→???→ベ,イシツブテテツノコウベ
イ→???→???→ワ,イワパレススナノケガワ
ウ→???→???→カ,ウミディグダダルマッカ
ウ→???→???→ガ,ウツボットトドゼルガ
ウ→???→???→ゴ,ウソッキーキバゴ
ウ→???→???→サ,ウソッキーキノガッサ
ウ→???→???→ゼ,ウインディイルミーゼ
ウ→???→???→ツ,ウツロイドドテッコツ
ウ→???→???→テ,ウインディイシツブテ
ウ→???→???→デ,ウツロイドドヒドイデ
ウ→???→???→ヌ,ウインディイイネイヌ
ウ→???→???→ノ,ウソハチチラチーノ
ウ→???→???→バ,ウインディイダイナキバ
ウ→???→???→フ,ウミトリオオラチフ
ウ→???→???→ヤ,ウツロイドドラメシヤ
ウ→???→???→ヨ,ウミトリオオリーニョ
エ→???→???→ダ,エテボースストリンダー
エ→???→???→ニ,エモンガガケガニ
エ→???→???→ヒ,エネココアルヒー
エ→???→???→ビ,エテボーススナヘビ
エ→???→???→ポ,エネココオリッポ
エ→???→???→モ,エンブオーオニシズクモ
エ→???→???→ヨ,エンブオーオリーニョ
エ→???→???→レ,エネココレクレー
エ→???→???→ワ,エテボーススナノケガワ
オ→???→???→エ,オラチフフェローチェ
オ→???→???→ゴ,オドシシシュバルゴ
オ→???→???→ザ,オラチフフリーザー
オ→???→???→ヌ,オリーヴァアシレーヌ
オ→???→???→ベ,オラチフフラベベ
オ→???→???→ヨ,オリーヴァアマージョ
カ→???→???→エ,カプ・テテフフェローチェ
カ→???→???→サ,カイリキーキノガッサ
カ→???→???→ニ,カイオーガガケガニ
カ→???→???→ハ,カメテテテツノイサハ
カ→???→???→ヒ,カプ・コケココアルヒー
カ→???→???→フ,カプ・コケココジョフー
カ→???→???→ブ,カミツオロチチャオブー
カ→???→???→ポ,カプ・コケココオリッポ
カ→???→???→ユ,カブルモモグリュー
カ→???→???→ヨ,カラミンゴゴニョニョ
ガ→???→???→♀,ガケガニニドラン♀
ガ→???→???→♂,ガケガニニドラン♂
ガ→???→???→カ,ガチグママーイーカ
