question,answer
ア→???→???→ギ,アディスアベババンギ
ア→???→???→コ,アディスアベババマコ
ア→???→???→シ,アシガバットトビリシ
ア→???→???→ソ,アスタナナッソー
ア→???→???→リ,アシガバットトリポリ
イ→???→???→ハ,イスラマバードドーハ
イ→???→???→ベ,イスラマバードドゥシャンベ
イ→???→???→マ,イスラマバードドドマ
ウ→???→???→カ,ウランバートルルサカ
ウ→???→???→ク,ウランバートルルクセンブルク
ウ→???→???→ダ,ウランバートルルアンダ
ウ→???→???→ト,ウィントフッククウェート
ウ→???→???→ル,ウィントフッククアラルンプール
エ→???→???→ナ,エレバンンジャメナ
エ→???→???→ネ,エルサレムムババーネ
オ→???→???→グ,オタワワガドゥグー
オ→???→???→ゾ,オスロロゾー
オ→???→???→マ,オスロローマ
オ→???→???→メ,オスロロメ
オ→???→???→ワ,オタワワルシャワ
オ→???→???→ン,オスロロンドン
カ→???→???→エ,カラカススコピエ
カ→???→???→カ,カブールルサカ
カ→???→???→ク,カブールルクセンブルク
カ→???→???→ス,カンパララパス
カ→???→???→ゾ,カイロロゾー
カ→???→???→ダ,カブールルアンダ
カ→???→???→テ,カラカススリジャヤワルダナプラコッテ
カ→???→???→ト,カンパララバト
カ→???→???→バ,カラカススバ
カ→???→???→マ,カイロローマ
カ→???→???→ム,カラカスストックホルム
カ→???→???→メ,カイロロメ
カ→???→???→ン,カイロロンドン
キ→???→???→ア,キンシャササヌア
キ→???→???→ウ,キトトウキョウ
キ→???→???→エ,キガリリロングウェ
キ→???→???→ガ,キガリリガ
キ→???→???→シ,キトトビリシ
キ→???→???→ス,キャンベララパス
キ→???→???→セ,キンシャササンホセ
キ→???→???→ト,キャンベララバト
キ→???→???→ド,キガリリヤド
キ→???→???→ノ,キンシャササンマリノ
キ→???→???→ボ,キンシャササラエボ
キ→???→???→マ,キガリリマ
キ→???→???→メ,キンシャササントメ
キ→???→???→リ,キトトリポリ
ク→???→???→ウ,クウェートトウキョウ
ク→???→???→カ,クアラルンプールルサカ
ク→???→???→ク,クアラルンプールルクセンブルク
ク→???→???→シ,クウェートトビリシ
ク→???→???→ダ,クアラルンプールルアンダ
ク→???→???→リ,クウェートトリポリ
グ→???→???→ド,グアテマラシティイスラマバード
コ→???→???→エ,コナクリリロングウェ
コ→???→???→ガ,コナクリリガ
